app_name,Data Linked to You - Purpose: App Functionality,Data Not Linked to You - Purpose: Analytics,Data Not Linked to You - Purpose: Developer’s Advertising or Marketing,Data Not Linked to You - Purpose: Third-Party Advertising,Data Used to Track You,Data Linked to You - Purpose: Developer’s Advertising or Marketing,Data Linked to You - Purpose: Analytics,Data Linked to You - Purpose: Product Personalization,Data Not Linked to You - Purpose: App Functionality,Data Linked to You - Purpose: Third-Party Advertising,Data Not Linked to You - Purpose: Product Personalization,Data Linked to You - Purpose: Other Purposes,Data Not Linked to You - Purpose: Other Purposes
Elevate - Brain Training Games Label,Usage Data (Product Interaction),Usage Data (Advertising Data),Usage Data (Advertising Data),Usage Data (Advertising Data),Usage Data (Advertising Data),"Purchases (Purchase History); Contact Info (Email Address, Name); Identifiers (User ID, Device ID); Usage Data (Product Interaction)","Purchases (Purchase History); Identifiers (User ID, Device ID); Usage Data (Product Interaction)",Purchases (Purchase History); Contact Info (Name); Usage Data (Product Interaction),,,,,
Chevron Label,"Purchases (Purchase History); Financial Info (Payment Info); Location (Coarse Location); Contact Info (Email Address, Name, Phone Number); User Content (Customer Support); Identifiers (User ID, Device ID); Diagnostics (Crash Data, Performance Data); Other Data (Other Data Types)",,,,"Financial Info (Payment Info); Identifiers (User ID, Device ID); Usage Data (Product Interaction)",Identifiers (User ID),"Financial Info (Payment Info); Identifiers (User ID, Device ID); Usage Data (Product Interaction); Diagnostics (Crash Data, Performance Data)",Location (Coarse Location),Location (Precise Location),,,,
FanDuel Sportsbook Label,"Financial Info (Other Financial Info); Location (Precise Location); Contact Info (Physical Address, Email Address, Name, Phone Number, Other User Contact Info)",,,,"Location (Coarse Location); Contact Info (Email Address, Name); Identifiers (User ID, Device ID); Usage Data (Product Interaction, Advertising Data)","Purchases (Purchase History); Location (Coarse Location); Contact Info (Physical Address, Name); Identifiers (User ID, Device ID); Usage Data (Product Interaction, Advertising Data)","Location (Precise Location, Coarse Location); Identifiers (User ID, Device ID); Usage Data (Product Interaction); Diagnostics (Crash Data, Performance Data)","Purchases (Purchase History); Location (Coarse Location); Identifiers (User ID, Device ID); Usage Data (Product Interaction, Advertising Data)",,"Purchases (Purchase History); Identifiers (User ID, Device ID); Usage Data (Product Interaction, Advertising Data)",,,
Royal Match Label,,"Purchases (Purchase History); Identifiers (User ID, Device ID); Usage Data (Product Interaction)",Identifiers (Device ID),,Purchases (Purchase History); Identifiers (Device ID),,,,"User Content (Customer Support); Identifiers (User ID, Device ID); Usage Data (Product Interaction); Diagnostics (Crash Data, Performance Data, Other Diagnostic Data)",,Purchases (Purchase History); Identifiers (User ID); Usage Data (Product Interaction),,
Weatherforecast Label,,,,Usage Data (Product Interaction),Usage Data (Product Interaction),,,,,,,,
CARFAX Label,Identifiers (User ID); Usage Data (Product Interaction),Browsing History (Browsing History),Browsing History (Browsing History),,Browsing History (Browsing History); Identifiers (User ID); Usage Data (Product Interaction),Usage Data (Product Interaction),Identifiers (User ID); Usage Data (Product Interaction),Identifiers (User ID); Usage Data (Product Interaction),"Browsing History (Browsing History); Diagnostics (Crash Data, Performance Data, Other Diagnostic Data); Other Data (Other Data Types)",Usage Data (Product Interaction),Browsing History (Browsing History),,
AutoZone Label,,"Search History (Search History); Usage Data (Product Interaction); Diagnostics (Crash Data, Performance Data, Other Diagnostic Data)",,,,"Purchases (Purchase History); Contact Info (Physical Address, Email Address, Name, Phone Number, Other User Contact Info); Identifiers (User ID); Sensitive Info (Sensitive Info)",Purchases (Purchase History); Identifiers (User ID),Purchases (Purchase History); Location (Coarse Location); Identifiers (User ID),,,,,
Weather Radar Label,"Purchases (Purchase History); Location (Precise Location, Coarse Location); Contact Info (Email Address); User Content (Customer Support); Identifiers (Device ID); Usage Data (Advertising Data)","Diagnostics (Crash Data, Performance Data)",,,"Location (Precise Location, Coarse Location); Contact Info (Email Address); Identifiers (Device ID); Usage Data (Advertising Data)",Purchases (Purchase History); Contact Info (Email Address); Identifiers (Device ID); Usage Data (Advertising Data),"Purchases (Purchase History); Location (Precise Location, Coarse Location); User Content (Customer Support); Identifiers (Device ID); Usage Data (Product Interaction, Advertising Data)","Location (Precise Location, Coarse Location); Contact Info (Email Address); Identifiers (Device ID); Usage Data (Product Interaction)","User Content (Other User Content); Identifiers (User ID); Diagnostics (Crash Data, Performance Data)","Location (Precise Location, Coarse Location); Identifiers (Device ID); Usage Data (Advertising Data)",User Content (Other User Content); Identifiers (User ID),,
ParkMobile Label,"Purchases (Purchase History); Financial Info (Payment Info); Contact Info (Email Address, Phone Number); Identifiers (User ID, Device ID); Other Data (Other Data Types)","Location (Coarse Location); User Content (Customer Support); Diagnostics (Crash Data, Performance Data)",,,,"Contact Info (Email Address); Identifiers (User ID, Device ID); Usage Data (Product Interaction)","Purchases (Purchase History); Contact Info (Email Address, Phone Number); Identifiers (User ID, Device ID); Usage Data (Product Interaction)",,"Location (Precise Location, Coarse Location); User Content (Customer Support); Diagnostics (Other Diagnostic Data)",,Location (Precise Location),"Contact Info (Email Address, Phone Number)",Location (Coarse Location)
NFL Label,"Purchases (Purchase History); Location (Precise Location, Coarse Location); Contact Info (Email Address, Name); User Content (Photos or Videos, Customer Support); Search History (Search History); Identifiers (User ID, Device ID); Usage Data (Product Interaction, Other Usage Data); Other Data (Other Data Types)","Diagnostics (Crash Data, Performance Data, Other Diagnostic Data)",,,"Purchases (Purchase History); Location (Precise Location, Coarse Location); Contact Info (Email Address); Identifiers (User ID, Device ID); Usage Data (Product Interaction, Advertising Data, Other Usage Data); Other Data (Other Data Types)","Purchases (Purchase History); Location (Precise Location, Coarse Location); Contact Info (Email Address, Name); Identifiers (User ID, Device ID); Usage Data (Product Interaction, Advertising Data, Other Usage Data); Other Data (Other Data Types)","Purchases (Purchase History); Location (Precise Location, Coarse Location); Contact Info (Email Address); Identifiers (User ID, Device ID); Usage Data (Product Interaction, Advertising Data, Other Usage Data); Other Data (Other Data Types)","Purchases (Purchase History); Location (Precise Location, Coarse Location); Contact Info (Email Address, Name); User Content (Photos or Videos); Search History (Search History); Identifiers (User ID, Device ID); Usage Data (Product Interaction, Other Usage Data); Other Data (Other Data Types)","Contacts (Contacts); Diagnostics (Crash Data, Performance Data, Other Diagnostic Data)","Purchases (Purchase History); Location (Precise Location, Coarse Location); Contact Info (Email Address); Identifiers (User ID, Device ID); Usage Data (Product Interaction, Advertising Data, Other Usage Data); Other Data (Other Data Types)",,"Purchases (Purchase History); Location (Precise Location, Coarse Location); Contact Info (Email Address); Identifiers (User ID, Device ID); Usage Data (Product Interaction, Other Usage Data); Other Data (Other Data Types)",
Clever: Brain Logic Training Label,,"Purchases (Purchase History); Identifiers (User ID, Device ID); Usage Data (Product Interaction); Diagnostics (Crash Data, Performance Data)",Location (Coarse Location),Usage Data (Advertising Data),"Purchases (Purchase History); Location (Coarse Location); Identifiers (User ID, Device ID); Usage Data (Product Interaction, Advertising Data); Diagnostics (Crash Data, Performance Data)",,,,Usage Data (Product Interaction),,,,
